,User,text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
44,@BBC,"Tonight on the #GrahamNortonShow...

✨@Springsteen!
✨Kristin Scott Thomas!
✨ @McConaughey!
✨ @MawaanR!
✨… https://t.co/OIuIoFfQHN",Fri Oct 23 19:01:00 +0000 2020,0.6973,0.325,0.675,0.0,1
45,@BBC,"Happy 90th Birthday @BBCSO 🎉

A fitting tribute from baritone and composer @Sviceridor #BBCSOat90

https://t.co/8SAcUsoxRt",Fri Oct 23 10:48:48 +0000 2020,0.7506,0.314,0.686,0.0,1
46,@BBC,"#MockTheWeek is back!  🙌

@daraobriain hosts panellists Hugh Dennis, @tomallencomedy, @AngelaBarnes, @rhysjamesy,… https://t.co/LNhE4MFxtO",Thu Oct 22 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
47,@BBC,RT @bbcpress: #DavidTennant and @MichaelSheen return with more #Staged for @BBCOne: https://t.co/2wVydhm8vM https://t.co/ZVUEjpRTUe,Thu Oct 22 10:51:18 +0000 2020,0.0,0.0,1.0,0.0,1
48,@BBC,"Brand new series #TheNoughties takes a light-hearted look at the decade that kicked off this century.

Tonight… https://t.co/kfue8npm1H",Wed Oct 21 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
49,@BBC,"The thief who changed the world - one acorn at a time
https://t.co/DTJglgJpDU",Tue Oct 20 16:01:00 +0000 2020,-0.5267,0.0,0.779,0.221,1
50,@BBC,"One million plant and animal species face extinction, but you can make a difference.

#ExtinctionTheFacts is stream… https://t.co/2TjShCrACu",Mon Oct 19 15:00:02 +0000 2020,0.0,0.0,1.0,0.0,1
51,@BBC,"What is a circuit-breaker lockdown?

https://t.co/1tf6maHGkc",Sun Oct 18 11:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
52,@BBC,RT @bbcstrictly: Our couples are complete. #Strictly 2020 is go! 💜✨ https://t.co/sl0aLuRhcM,Sun Oct 18 10:29:03 +0000 2020,0.7777,0.361,0.639,0.0,1
53,@BBC,"Get ready to dance yourself happy... #Strictly's BACK! 💃✨

@bbcstrictly starts tonight at 7:50pm on @BBC One and… https://t.co/6Pg8t1FfB3",Sat Oct 17 16:01:00 +0000 2020,0.8313,0.328,0.672,0.0,1
54,@BBC,"Tonight on #TheGNShow...

✨Arsene Wenger!
✨@SamuelLJackson!
✨@Dawn_French!
✨@flintoff11!
✨Music fromMercury Prize w… https://t.co/FTPXzjledg",Fri Oct 16 19:01:00 +0000 2020,0.6671,0.271,0.729,0.0,1
55,@BBC,RT @BBCTheOneShow: Matt Baker explains a new #RickshawChallenge for 2020 taking place on the @Goodwood_Estate and the changes made to keep…,Thu Oct 15 18:21:00 +0000 2020,0.0,0.0,1.0,0.0,1
56,@BBC,"RT @BBCNewsPR: 🇺🇸 We’ve announced the details of the BBC #USElection2020 results coverage, led by @KattyKay_ and @afneil

Full details here…",Thu Oct 15 10:08:47 +0000 2020,0.0,0.0,1.0,0.0,1
57,@BBC,"Hugh Laurie and Helen McCrory star in a brand new political thriller…
 
#Roadkill, coming soon to @BBCOne and… https://t.co/idUQSQgyv5",Wed Oct 14 16:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
58,@BBC,"These specially trained sniffer dogs in Lebanon are learning to detect Covid-19 🐶
https://t.co/9qx0xfvnmj",Tue Oct 13 16:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
59,@BBC,"RT @BBCCiN: Here's a sneak peak at our special short film, coming 15 October @BBCOne 🔜 https://t.co/DevFP5ecxT",Tue Oct 13 08:57:59 +0000 2020,0.4019,0.137,0.863,0.0,1
60,@BBC,"""More than 12 million Africans were trafficked. More than 2 million died en route. We thought it was worth telling… https://t.co/akCYMDFNBE",Mon Oct 12 16:01:00 +0000 2020,-0.4019,0.078,0.776,0.147,1
61,@BBC,.@SamuelLJackson pieces together the beginnings and methods of the trans-Atlantic slave trade – a business that thr… https://t.co/0T1mqPV5w8,Sun Oct 11 18:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
62,@BBC,"""To be sober and truthful as you can, it's not going to be paradise immediately…"" Sir David Attenborough on humanit… https://t.co/lucI19uje5",Sun Oct 11 16:01:00 +0000 2020,0.802,0.275,0.725,0.0,1
63,@BBC,"Zak (@ZakBevis) trains young wrestlers in Norwich, building their confidence and making positive change in his comm… https://t.co/Nwa3BYiIso",Sat Oct 10 13:01:00 +0000 2020,0.7845,0.301,0.699,0.0,1
64,@BBC,"Tonight on #TheGNShow...

✨Ewan McGregor!
✨@ShirleyBallas!
✨@AshleyBanjo!
✨Frank Skinner!
✨Music from @MileyCyrus!… https://t.co/dWXcnN2uvd",Fri Oct 09 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
65,@BBC,"“We owe you.”

Mick Fleetwood thanks the man behind the viral video that’s made Fleetwood Mac's Dreams a hit all ov… https://t.co/G2LaxTOqQt",Fri Oct 09 17:01:00 +0000 2020,0.6808,0.219,0.781,0.0,1
66,@BBC,"RT @HackerTDog: HI COCKERS! I’VE BEEN ANSWERING YOUR QUESTIONS! WANT TO GET TO KNOW ME MORE THAN MY LOVE OF MEAT PASTE, WIGAN AND SUE BARKE…",Fri Oct 09 14:41:11 +0000 2020,0.8581,0.261,0.739,0.0,1
67,@BBC,"RT @bbcasiannetwork: 🚨 ANTHEM ALERT 🚨 ""Haathon ko dhona dhona, te mask nu pauna pena'' - @iharoonrashid and his friends have come up with a…",Fri Oct 09 12:39:55 +0000 2020,0.7213,0.183,0.817,0.0,1
68,@BBC,"""We're in a very, very dangerous and difficult time in the environment""

Prince William launches the Earthshot Priz… https://t.co/zkeEPcKsxg",Thu Oct 08 13:01:00 +0000 2020,-0.7532,0.0,0.725,0.275,1
69,@BBC,"""What animal do you like?"" 🐒

Sir David Attenborough gets quizzed by two-year-old Prince Louis and his siblings. 
https://t.co/HpYjBqpx2A",Wed Oct 07 16:01:00 +0000 2020,0.3612,0.122,0.878,0.0,1
70,@BBC,"Join Jodie Whittaker, @davidwalliams, @thelizcarr and Ruth Jones as they trace their family ancestry, turning up a… https://t.co/ci5N5sIkJS",Tue Oct 06 16:01:00 +0000 2020,0.296,0.115,0.885,0.0,1
71,@BBC,"The stories of ordinary people fighting for truth and justice following acts of terror.

In the Face of Terror star… https://t.co/Jt5lr4rETR",Mon Oct 05 18:01:00 +0000 2020,-0.5574,0.184,0.516,0.3,1
72,@BBC,"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX",Mon Oct 05 16:01:00 +0000 2020,0.5256,0.139,0.861,0.0,1
73,@BBC,"@BBCiPlayer @sueperkins These are Japan’s remarkable free-diving grannies, who dive to depths of 30 feet!… https://t.co/lbGJjS1GbJ",Sun Oct 04 13:01:00 +0000 2020,0.5983,0.206,0.794,0.0,1
74,@BBC,"From A to ""Oh"" to Z.

#GavinAndStacey | @bbcthree

https://t.co/PjHtnwrPNV",Sat Oct 03 15:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
75,@BBC,"The #GrahamNorton Show is BACK!  🙌

This week's star studded line up, both in-studio and connecting remotely...

✨… https://t.co/v0DsDFxjLQ",Fri Oct 02 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
76,@BBC,"RT @BBC_TopGear: The #TopGear Ultimate Driving Mix on @BBCSounds 🎵 Listen to 15 classic driving anthems handpicked by @flintoff11, @PaddyMc…",Fri Oct 02 18:31:42 +0000 2020,0.0,0.0,1.0,0.0,1
77,@BBC,This robot is smaller than the width of a hair  🤯- and scientists hope it will be used to hunt down and destroy can… https://t.co/MIWcSlXzj0,Fri Oct 02 16:01:00 +0000 2020,-0.1531,0.095,0.789,0.115,1
78,@BBC,RT @bbcpress: #ChildrenInNeed celebrates 40 fabulous years on Friday 13 November on @BBCOne: https://t.co/SEg6oCzL1p https://t.co/tD9K0XVaTi,Fri Oct 02 12:09:42 +0000 2020,0.7964,0.353,0.647,0.0,1
79,@BBC,"RT @BBCWomansHour: ""I am not crying."" 😢 The legendary Jenni Murray @whjm signs off from Woman's Hour after 33 years. 👏

Listen to her final…",Thu Oct 01 16:18:50 +0000 2020,0.6259,0.17,0.83,0.0,1
80,@BBC,"A jet suit for ""flying"" paramedics is being tested by an air ambulance service in the north of England.
https://t.co/xrUVJEitkO",Wed Sep 30 16:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
81,@BBC,"RT @BBCSounds: Music, radio and podcasts to move you with the Power of BBC Sounds... 🎧⚡️🧡

Download the app now. https://t.co/qhDE8UhNSQ",Wed Sep 30 09:06:50 +0000 2020,0.6369,0.149,0.851,0.0,1
82,@BBC,Should cars have health warnings like cigarette packets? A viewpoint from author and campaigner @AndrewSimms_uk. https://t.co/3MgenRXYqs,Tue Sep 29 16:01:00 +0000 2020,0.0772,0.134,0.749,0.118,1
